welcome to:0.000721412468054398
to the:0.000230342272144442
the course:0.0000210637452009638
course text:0.000989127416088145
text mining:0.00075960542358513
mining and:0.0000632733189461361
and analytics:0.000660093070313079
my name:0.0000157903263542094
name is:0.00093582380372076
is chengxiang:0.00109451468629565
chengxiang zhai:0.00088935491955326
i have:0.000838123739040699
have a:0.000350645338896997
a nickname:0.000336804663212275
i am:0.000910556797275308
am a:0.000248077105932747
a professor:0.000548522750470305
professor of:0.000427952931525953
of the:0.000203360955907842
the department:0.0000671741951540485
department of:0.00000172327026947188
of computer:0.0000369210509508479
computer science:0.000439184227571958
science at:0.000149317146142922
at the:0.00109977397380813
the university:0.000142176281371925
university of:0.000272440325003949
of illinois:0.000760757965966584
illinois at:0.0002026981649443
at urbana:0.000929952275841582
urbana champaign:0.000466707349208515
this course:0.00112257009108442
course is:0.000112354425374592
is a:0.000660586959373792
a part:0.00074809281775119
part of:0.000259576842444606
of a:0.000270037213736243
a data:0.000702391591385164
data mining:0.000447612497932985
mining specialization:0.000439917653671933
specialization offered:0.00111351916776375
offered by:0.00111855014165393
by the:0.00101803482323768
the university:0.000344343306381994
university of:0.00046048607345101
of illinois:0.000881374131439163
illinois at:0.000101007810104737
at urbana:0.000864253753045281
urbana champaign:0.000635619340853423
in addition:0.000336736189833332
addition to:0.00103908353939652
to this:0.000778688541345989
this course:0.000016885750210771
there are:0.000726618193069013
are four:0.00108751401458262
four other:0.00107393289512191
other courses:0.000638048350625797
courses offered:0.000421744060069593
offered by:0.000408036772930402
by professor:0.000360746512800661
professor jiawei:0.000883240356943208
jiawei han:0.0000192221802774581
professor john:0.000509804016945026
john hart:0.000351356833006096
hart and:0.000644503155854963
and me:0.00080044344720263
followed by:0.000550775959496196
by a:0.000238921217504587
a capstone:0.00082316832643042
capstone project:0.000496504691466676
project course:0.000992853806577239
course that:0.00108282888280817
that all:0.000702923007182401
all of:0.000681829988710288
of us:0.000862236724343462
us will:0.000959612236731714
will teach:0.00062307736254726
teach together:0.000763116724522156
this course:0.000230826881015078
course is:0.0000891237772089244
is particularly:0.0011438734299649
particularly related:0.00074167796285138
related to:0.00025293875928283
to another:0.000555563891922249
another course:0.000147654372314877
course in:0.000131699453998468
in the:0.000896429420031839
the specialization:0.000753429067895795
mainly text:0.000954034689011451
text retrieval:0.00110185432639005
retrieval and:0.000314645044438288
and search:0.0000868498480232036
search engines:0.00015800758109322
engines in:0.000843391665522071
in that:0.000810811795689998
that both:0.000502168731394163
both courses:0.000466954319879006
courses are:0.000148275856185142
are about:0.000638910125823587
about text:0.000630149649766094
text data:0.000799826864564559
in contrast:0.000808451880460143
pattern discovery:0.0000854672164996505
discovery and:0.000549601557611517
and cluster:0.000025642245268451
cluster analysis:0.000225914739143305
analysis are:0.00103194149302007
are about:0.00111717600060731
about algorithms:0.0011187417110646
algorithms more:0.000390157330245187
more applicable:0.0000784394463174431
applicable to:0.000232707913404275
to all:0.000916937831760123
all kinds:0.000246287320810252
kinds of:0.000561764193390836
of data:0.000744301864535312
data in:0.000672323371524291
in general:0.000428009545702097
the visualization:0.000390047987993584
visualization course:0.000729787386593335
course is:0.000829996499032771
is also:0.000972222829715763
also relatively:0.000410109379578995
relatively general:0.000410009436314685
general in:0.00102044596688714
in that:0.0000791715468688928
that the:0.000422224283190504
the techniques:0.000215673319545545
techniques can:0.000300906063269977
can be:0.000026499716391501
be applied:0.00106278671510922
applied to:0.000326745826422597
to all:0.000392451063224476
all kinds:0.000964869924805288
kinds of:0.000369047271445731
of data:0.00106260023214243
this course:0.00103816091441044
course addresses:0.000595838323883274
addresses a:0.000213191831494755
a pressing:0.000816966684578409
pressing need:0.000234760999351583
need for:0.000496600259176975
for harnessing:0.000391569046820513
harnessing big:0.000977549388048382
big text:0.000037845582877793
text data:0.000714756274654155
text data:0.000443561904561415
data has:0.000451104895429523
has been:0.00079761018732311
been growing:0.000595261330508425
growing dramatically:0.000615521857363378
dramatically recently:0.0000427284085152921
mostly because:0.000433809081326867
because of:0.000849473065979078
of the:0.000181310371282562
the advance:0.00033055404470148
advance of:0.000280153503489335
of technologies:0.000929358831242913
technologies deployed:0.000107227789274
deployed on:0.000929935201114254
on the:0.000550050758781653
the web:0.00085075639021879
web that:0.000308062881974952
that would:0.000902400958478369
would enable:0.000396707692529405
enable people:0.00109209561354014
people to:0.000455149808650297
to quickly:0.00018260283975718
quickly generate:0.000631451500812491
generate text:0.000682888268457547
text data:0.000516494388972923
i listed:0.000706766018449557
listed some:0.00000606467659002776
some of:0.000569881719462084
of the:0.000754785295434848
the examples:0.00103775770221551
examples on:0.0000776912025821571
on this:0.000506190318492796
this slide:0.000457276007396746
slide that:0.000778800707440161
that can:0.000588563563182178
can show:0.000000149754533890368
show a:0.00098196105660234
a variety:0.000848977992889015
variety of:0.000147938635247125
of text:0.000771589503647451
text data:0.000693162064070535
data that:0.000793191348326196
that are:0.00102847464692035
are available:0.000342011948451116
available today:0.00115000011806637
for example:0.00091789921793737
if you:0.00110092944138492
you think:0.000893511021972153
think about:0.00116721169148517
about the:0.00083529961997011
the data:0.00010645631234752
data on:0.000468797160970854
on the:0.000682660513759634
the internet:0.000761895720635015
on the:0.000967016065669526
the web:0.000148426272660737
everyday we:0.00116871746985878
we are:0.000266714129609619
are seeing:0.000299413779072783
seeing many:0.0011636240455439
many web:0.000342553224595835
web pages:0.000116937006196451
pages being:0.00105658030782621
being created:0.00115865156810097
blogs are:0.000297143610113871
are another:0.000993879231052567
another kind:0.000806278526813761
kind of:0.00108281207834907
of new:0.000984858320819217
new text:0.00118949021173266
text data:0.000892844680001273
data that:0.00107787220734226
that are:0.000223260387815776
are being:0.0000321117576841382
being generated:0.000296662515852171
generated quickly:0.000439289246774894
quickly by:0.000878277081808822
by people:0.000383608539009934
anyone can:0.000226631863831457
can write:0.000128690749251488
write a:0.000172312570310037
a blog:0.0007911411140447
blog article:0.00028975366411256
article on:0.000959646013666412
on the:0.000807275964443554
the web:0.000872091765863769
new articles:0.000983189347072783
articles of:0.0000555157601090235
of course:0.000872645756631759
course have:0.00107485868389109
have always:0.000369703063335483
always been:0.000531679912327538
been a:0.000166706427680632
a main:0.00116499942169482
main kind:0.00109454144110793
kind of:0.000025619906913856
of text:0.000928086071648556
text data:0.000970108793958153
data that:0.000653418179976053
that being:0.000386783255592267
being generated:0.001033859636019
generated everyday:0.0000109444379685226
emails are:0.00116265081309549
are yet:0.000201159299945972
yet another:0.000955266601725804
another kind:0.00117036608462544
kind of:0.000923704298300806
of text:0.00111654925551381
text data:0.000440193245368643
and literature:0.000879612966493727
literature is:0.000962614952109986
is also:0.000788591144754679
also representing:0.0000419657661304068
representing a:0.00083627270420472
a large:0.000486048564713026
large portion:0.00118356215726681
portion of:0.000380947100579519
of text:0.000768378052943154
text data:0.000155715700681057
it's also:0.000212817355357402
also especially:0.000465420051619583
especially very:0.000807277472798154
very important:0.000715147694997012
important because:0.00112537255287494
because of:0.000840649067851967
of the:0.000978473672304938
the high:0.00114347851643041
high quality:0.0011444223094628
quality in:0.0010422903510886
in the:0.000344420113468909
the data:0.000600775821342898
that is:0.000211997983409128
we encode:0.00118834180668038
encode our:0.0000950491718265256
our knowledge:0.000337394559126218
knowledge about:0.00112770672440371
about the:0.00042916948972163
the word:0.000989505509756085
word using:0.00100779169023479
using text:0.000113569365236923
text data:0.000924617818697324
data represented:0.000241106322931906
represented by:0.00104386100560679
by all:0.00104643365464436
all the:0.000907390916909863
the literature:0.000340785610609478
literature articles:0.000188878126755253
it's a:0.000545155266489172
a vast:0.00062574625683682
vast amount:0.000588337034546305
amount of:0.000166133117165518
of knowledge:0.000403985776465395
knowledge of:0.00109370577930861
of all:0.000688013792746989
all the:0.000449199357289291
the text:0.000847614994719243
text and:0.000642442870168697
and data:0.000228321468198951
data in:0.00045369649785173
in these:0.000101690978324532
these literature:0.00098790879262958
literature articles:0.00036275319650676
twitter is:0.000730566471247899
is another:0.00024251562004171
another representative:0.000191874614671819
representative text:0.000526880324740043
text data:0.00109862308825788
data representing:0.00022286893950185
representing social:0.0000279771363089114
social media:0.000517806497944592
of course:0.000394221199714744
course there:0.00055788269414769
there are:0.000975914610506466
are forums:0.000969876559216211
forums as:0.00107400455570949
as well:0.000953197142904096
people are:0.000206182884231327
are generating:0.000571573575467424
generating tweets:0.000327448587979974
tweets very:0.0011739729853522
very quickly:0.000628924697333329
quickly indeed:0.00074073006477878
indeed as:0.000891347153834815
as we:0.000720412632878532
we are:0.000296668494168165
are speaking:0.0000869684821947406
speaking perhaps:0.000949041360860149
perhaps many:0.000147919763090641
many people:0.00105001210384589
people have:0.000635710085514796
have already:0.000708084484618765
already written:0.000281717859184469
written many:0.0010189488781557
many tweets:0.0000470940646986012
as you:0.000574141495640726
you can:0.000232980183900793
can see:0.000783262371368852
see there:0.000221954566909976
there are:0.000188484492391121
are all:0.000266442701839288
